CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOMGEO
30,181,0099,0113,La Tranca
30,181,0054,0081,El Moste
30,087,0027,0431,Xoloxtla
30,183,0018,0014,San Isidro
30,183,0070,0014,La Granja
30,019,0007,0018,Choapa
30,189,0047,0056,Juana Moza
30,210,0019,016A,Bajo Grande
30,212,0037,0041,General Lázaro Cárdenas
21,083,0059,0062,Minillas (La Garita)
29,006,0012,0040,San Felipe Sultepec
29,040,0004,0254,La Ascensión Huitzcolotepec
29,031,0017,0039,José María Morelos y Pavón
29,034,0086,0045,San José Tepeyahualco
29,034,0084,0064,Tecomalucan
28,003,0105,0114,Maclovio Herrera (Miradores)
28,007,0006,0043,El Azúcar
28,013,0089,0055,La Parrita
28,013,0110,0233,El Roble
28,022,1919,0158,La Higuera
28,025,0084,0569,El Nogalito
28,025,0026,0569,El Ranchito (Cerro Azul)
28,025,0027,0569,El Ranchito (Salitrillo)
28,035,0428,1046,El Barrancón del Tío Blas (El Barrancón)
28,039,0205,0085,El Sauz (Mi Ranchito)
28,041,0098,1448,Miguel Hidalgo
28,041,0940,1448,Miguel Hidalgo [Colonia]
28,041,0129,1452,El Sabino
28,041,0157,0100,Santa Librada
28,001,0110,0425,Delicias
28,002,0256,0494,El Pichijumo
28,002,0163,0598,Paso Hondo
28,002,0634,0634,La Gloria
28,002,0183,0028,Real de Alamitos
28,002,0388,0314,Cinco de Febrero
28,008,0473,0229,Campo Número Tres
28,006,0026,0205,San Miguel de Waldo
28,003,0875,0152,Altamira Servicios de Infraestructura (ASISA) [Parque Industrial]
28,003,0761,0152,Nuevo Benito Juárez
28,003,0112,010A,Mata del Abra
28,003,0143,0434,La Pedrera
28,005,0079,027A,El Mulato
28,008,0010,0341,Los Ángeles (Felipe Ángeles) [Ejido]
28,007,0469,0058,Santa Gertrudis
28,007,0012,0024,Estación Camargo
28,007,0050,0217,Congregación Ochoa
28,008,0208,0182,Diecinueve de Abril
28,008,0137,0360,San Vicente
28,010,0062,034A,Tres Palos
28,011,0116,0120,San Pedrito
28,011,0067,0120,Nuevo Pensar del Campesino
28,012,0393,0344,López Rayón
28,012,0083,0734,Magiscatzin
28,018,0014,0297,El Encinal
28,018,0198,0390,Juan Báez Guerra
28,016,0099,0305,El Pensamiento Libre
28,016,0044,0343,La Esperanza
28,016,0011,0362,Benito Juárez (Monfort)
28,016,0033,0409,Cruz y Cruz
28,017,0010,0302,El Carrizo
28,018,0058,0333,Benito Juárez (El Tepeyac)
28,020,0029,0026,José María Pino Suárez
28,021,0003,0076,El Abra
28,029,0113,0341,Rancho Nuevo
28,021,0112,0979,La Reforma
28,021,0015,0964,Los Aztecas
28,021,0011,0061,Arturo Benítez
28,021,0043,0061,Emiliano Zapata
28,021,0037,0042,Dieciséis de Septiembre (El Nueve)
28,022,2123,1103,Las Ventanas [Parque Industrial]
28,022,0226,0020,Palo Blanco
28,022,1420,1902,Los Ranchitos (El Crucero)
28,032,0994,014A,Buenavista
28,022,0387,0124,La Tijerita
28,022,0098,1921,Cinco de Mayo
28,022,0262,0302,Quijano
28,022,0178,0340,La Libertad Número Dos
28,023,0248,0278,Mártires del Campo
28,023,0250,0263,El Moquetito
28,026,0016,027A,Servando Canales (La Arena)
28,027,0308,0101,América
28,029,0014,0356,Práxedis G. Guerrero (Callejones)
28,029,0004,0125,Adolfo López Mateos (Chamal Nuevo)
28,030,0047,0037,Nuevo San Juan
28,033,0277,0132,Mario Souza
28,033,0373,0058,Ampliación Río Bravo
28,034,0009,0163,El Barranco Azul
28,035,0493,0052,Alfredo V. Bonfil (Luis Echeverría)
28,035,0006,0156,Águila Azteca
28,039,0061,0475,San Antonio de Nahola (San Antonio)
28,039,0099,0174,La Cardoncita
28,035,0460,0993,Punta de Alambre (Puente de Alambre)
28,035,0545,0993,Punta de Piedra
28,039,0054,0189,Guadalupe Victoria (Rancho Nuevo)
28,039,0084,0155,El Refugio (La Unión)
28,039,0050,0494,Pedro Ruiz Molina
28,039,0053,0121,La Presa de Ramos
28,039,0083,0121,Tierras Blancas (Cinco de Mayo)
24,010,0062,006A,Colonia Agrícola Ollitas de las Vacas
28,039,0048,0193,Caudillos del Sur (Palos Altos)
28,039,0184,0244,Francisco I. Madero
28,039,0040,0545,Lucio Vázquez (El Charquito)
28,039,0166,0545,Las Cruces
28,040,0056,0014,Ignacio Manuel Altamirano
28,040,0182,0635,Magueyes [Carretera Estatal 53 entre Sur 73 y Sur 78]
28,041,0100,1467,La Misión
28,041,0070,1448,Estación Caballeros
28,041,0090,1467,La Libertad
28,042,0068,0343,Miguel Hidalgo
27,001,0044,0365,Mactún
27,004,0152,0371,Plátano y Cacao 2da. Sección (La Isla)
27,004,0090,0422,Estancia Vieja 1ra. Sección
27,005,0067,0063,Tránsito Tular
27,006,0055,0022,Reforma
27,004,0150,0371,Plátano y Cacao 4ta. Sección
07,074,0014,0010,Macayo 3ra. Sección
27,014,0054,0062,Chiltepec (Sección Pénjamo)
27,003,0331,0209,Caparroso
27,008,0129,0332,Unidad Modelo Sábana Larga
27,008,0123,0351,Gregorio Méndez
27,006,0017,0075,Cumuapa 1ra. Sección
27,010,0023,0044,Mecoacán
27,002,0160,0517,Benito Juárez (La Playita)
07,068,0102,0028,Platanar Abajo 2da. Sección (Unidad Chiapaneca)
27,009,0010,0062,Chichonal 1ra. Sección
27,004,0035,0386,Anacleto Canabal 3ra. Sección
27,004,0286,0475,Alvarado Santa Irene 2da. Sección (El Taizal)
27,015,0100,0021,División del Norte
27,017,0002,0172,Acatlipa
07,065,0064,0223,Lindavista (Chiniquijá)
27,017,0054,0168,Nueva Esperanza
26,029,1704,1938,Campestre San Alberto
26,029,1263,1923,Lomas de Colosio
26,030,0928,4098,La Galera
26,001,0003,0093,La Estancia
26,001,0007,0089,San Pablo (San Pablo de Aconchi)
26,003,0174,0952,Osobampo
26,003,0283,1221,El Zapote
26,003,0256,126A,Tapizuelas
26,017,0037,1814,Rodolfo Campodónico
26,017,0398,1814,Adolfo Orive de Alba
26,017,0898,1833,Poblado San Felipe
26,017,1335,1994,Ninguno [Ejido Ampliación Frontera]
26,018,0526,1690,Zona de Granjas (Granjas Mica)
26,026,0077,043A,La Vasconia (Del Apellido Vasco)
26,018,0076,1756,Antonio Rosales
26,018,0393,1807,Nueva Casa de Teras
26,021,0107,0429,Rancho la Virgen
26,023,0025,032A,Ojo de Agua
26,025,0069,0396,Úrsulo Galván
26,025,0037,0396,La Palma
26,026,0128,0393,Siete Leguas
26,026,0186,0393,San Pedro Viejo
26,027,0043,048A,Adolfo Ruíz Cortínez
26,029,0179,1656,Palo Verde
26,029,1637,1904,Villa Bemela
26,029,1708,1904,Campestre Corceles
26,029,0631,1904,El Renacimiento
26,030,0608,3812,El Saucito
26,030,3903,3795,El Ocotillo [Fraccionamiento]
26,030,0783,3954,Fructuoso Méndez
26,030,3816,3827,Real del Molinito [Campestre]
26,030,0866,4026,Suaqui de la Candelaria
26,030,4029,4026,La Polka
26,030,3025,4079,Corrales San Juanero
26,030,4033,4219,Nueva Europa
26,030,2056,4331,Ejido Nuevo San Miguel
26,030,1862,4308,El Crucero (Cero Norte)
26,030,3095,4331,La Habana Tres
26,030,0281,4435,La Habana Número Dos
26,030,3004,4223,Campestre Ejido la Yesca
26,030,1967,4539,Narciso Mendoza
26,030,0347,4469,Mineros de Pilares
26,030,0403,4628,Plan de Ayala
26,030,1214,4806,El Choyudo (Los Japoneses)
26,033,0107,0453,10 de Abril
26,033,0052,0379,Júpare
26,033,0077,0379,La Primavera
26,033,0088,0379,El Tábare
26,033,0056,0449,Estación Luis
26,033,0285,0519,Faustino Félix Serna
26,033,0040,0468,Francisco Sarabia
26,033,0115,0491,Playa los Baños
26,033,0086,0472,Sonora Sinaloa (Bamocha)
26,033,0103,0472,Totoliboqui
26,043,0485,0708,Campestre el Potrero
26,042,0126,0895,Tetapeche
26,042,0021,0908,Rancho Camargo
26,042,0735,0908,San Francisco
26,042,0136,0908,Sapomora
26,043,0239,0712,Cíbuta
26,048,0245,1825,Agua Zarca
26,048,0272,1948,Playa Dorada (Playa Norte)
26,050,0020,0204,La Paz (La Paz de Rayón)
26,051,0015,0644,Cedros
26,055,0364,1302,El Barrote
26,055,0147,1406,Los Tornero
02,002,0258,3672,Ejido Plan de Ayala
26,055,0039,1410,El Fronterizo
26,057,0206,0351,Batuc Viejo
26,064,0028,038A,Los Fresnos
26,066,0026,0488,La Estancia
26,066,0030,0488,Guadalupe (Guadalupe de Ures)
26,066,0077,0488,San Rafael
26,066,0082,0469,El Sauz (Sauz de Ures)
25,001,0243,1434,Bolsa de Tosalibampo Uno
25,001,0530,1491,Choacahui
25,001,0942,1542,Macapul [Almacenes]
25,001,0129,1557,Dieciocho de Marzo
25,001,0147,1504,Goros Pueblo
25,001,0701,1504,Camayeca
25,010,0625,0990,Téroque Viejo
25,001,0475,1523,Cuchilla Vieja
25,010,1398,101A,La Arrocera
25,010,0227,0990,La Genoveva
25,017,1522,0915,El Amapal
25,014,0057,0400,El Tablón Número Dos
25,014,0435,0400,Tablón Viejo
